zip_code,year,dob_calls_311
10027,2012 ,755
10027,2013 ,680
10027,2014 ,675
10027,2015 ,729
10027,2016 ,913
10027,2017 ,817
10027,2018 ,953
10027,2019 ,916
10027,2020 ,754
10027,2021 ,722
10027,2022 ,713
10027,2023 ,299
10028,2011 ,339
10028,2012 ,376
10028,2013 ,348
10028,2014 ,426
10028,2015 ,462
10028,2016 ,400
10028,2017 ,507
10028,2018 ,589
10028,2019 ,600
10028,2020 ,493
10028,2021 ,423
10028,2022 ,377
10028,2023 ,343
10029,2011 ,473
10029,2012 ,513
10029,2013 ,475
10029,2014 ,592
10029,2015 ,651
10029,2016 ,636
10029,2017 ,711
10029,2018 ,828
10029,2019 ,731
10029,2020 ,575
10029,2021 ,462
10029,2022 ,503
10029,2023 ,293
10030,2011 ,270
10030,2012 ,284
10030,2013 ,281
10030,2014 ,262
10030,2015 ,337
10030,2016 ,455
10030,2017 ,447
10030,2018 ,469
10030,2019 ,492
10030,2020 ,376
10030,2021 ,409
10030,2022 ,433
10030,2023 ,183
10031,2011 ,651
10031,2012 ,668
10031,2013 ,684
10031,2014 ,655
10031,2015 ,755
10031,2016 ,733
10031,2017 ,788
10031,2018 ,1060
10031,2019 ,1076
10031,2020 ,852
10031,2021 ,857
10031,2022 ,839
10031,2023 ,372
10032,2011 ,580
10032,2012 ,455
10032,2013 ,511
10032,2014 ,563
10032,2015 ,759
10032,2016 ,730
10032,2017 ,708
10032,2018 ,776
10032,2019 ,809
10032,2020 ,563
10032,2021 ,590
10032,2022 ,625
10032,2023 ,314
10033,2011 ,370
10033,2012 ,408
10033,2013 ,365
10033,2014 ,405
10033,2015 ,424
10033,2016 ,568
10033,2017 ,600
10033,2018 ,583
10033,2019 ,725
10033,2020 ,529
10033,2021 ,459
10033,2022 ,427
10033,2023 ,194
10034,2011 ,285
10034,2012 ,197
10034,2013 ,238
10034,2014 ,226
10034,2015 ,234
10034,2016 ,276
10034,2017 ,271
10034,2018 ,289
10034,2019 ,338
10034,2020 ,250
10034,2021 ,289
10034,2022 ,265
10034,2023 ,140
10035,2011 ,342
10035,2012 ,411
10035,2013 ,287
10035,2014 ,350
10035,2015 ,329
10035,2016 ,391
10035,2017 ,488
10035,2018 ,486
10035,2019 ,586
10035,2020 ,401
10035,2021 ,359
10035,2022 ,435
10035,2023 ,187
10036,2011 ,437
10036,2012 ,489
10036,2013 ,515
10036,2014 ,644
10036,2015 ,673
10036,2016 ,862
10036,2017 ,900
10036,2018 ,865
10036,2019 ,748
10036,2020 ,510
10036,2021 ,407
10036,2022 ,535
10036,2023 ,326
10037,2011 ,108
10037,2012 ,148
10037,2013 ,91
10037,2014 ,112
10037,2015 ,150
10037,2016 ,135
10037,2017 ,174
10037,2018 ,265
10037,2019 ,222
10037,2020 ,175
10037,2021 ,128
10037,2022 ,140
10037,2023 ,114
10038,2011 ,192
10038,2012 ,285
10038,2013 ,257
10038,2014 ,352
10038,2015 ,324
10038,2016 ,363
10038,2017 ,455
10038,2018 ,334
10038,2019 ,392
10038,2020 ,263
10038,2021 ,195
10038,2022 ,234
10038,2023 ,120
10039,2011 ,118
10039,2012 ,115
10039,2013 ,110
10039,2014 ,169
10039,2015 ,178
10039,2016 ,157
10039,2017 ,196
10039,2018 ,366
10039,2019 ,481
10039,2020 ,385
10039,2021 ,325
10039,2022 ,308
10039,2023 ,186
10040,2011 ,300
10040,2012 ,297
10040,2013 ,251
10040,2014 ,289
10040,2015 ,294
10040,2016 ,358
10040,2017 ,276
10040,2018 ,310
10040,2019 ,378
10040,2020 ,283
10040,2021 ,306
10040,2022 ,278
10040,2023 ,126
10041,2012 ,1
10041,2013 ,1
10041,2014 ,2
10041,2016 ,4
10041,2017 ,3
10041,2018 ,2
10041,2019 ,1
10041,2020 ,1
10041,2023 ,1
10044,2011 ,10
10044,2012 ,16
10044,2013 ,13
10044,2014 ,19
10044,2015 ,21
10044,2016 ,27
10044,2017 ,31
10044,2018 ,49
10044,2019 ,36
10044,2020 ,33
10044,2021 ,21
10044,2022 ,19
10044,2023 ,16
10045,2012 ,1
10045,2020 ,1
10048,2011 ,1
10048,2012 ,2
10055,2016 ,2
10055,2018 ,3
10055,2019 ,1
10055,2020 ,1
10055,2021 ,5
10055,2022 ,1
10055,2023 ,2
10065,2011 ,244
10065,2012 ,333
10065,2013 ,329
10065,2014 ,356
10065,2015 ,412
10065,2016 ,325
10065,2017 ,315
10065,2018 ,334
10065,2019 ,440
10065,2020 ,255
10065,2021 ,236
10065,2022 ,245
10065,2023 ,151
10069,2011 ,3
10069,2012 ,10
10069,2013 ,16
10069,2014 ,10
10069,2015 ,17
10069,2016 ,24
10069,2017 ,23
10069,2018 ,31
10069,2019 ,43
10069,2020 ,22
10069,2021 ,25
10069,2022 ,9
10069,2023 ,8
10075,2011 ,149
10075,2012 ,213
10075,2013 ,169
10075,2014 ,168
10075,2015 ,243
10075,2016 ,197
10075,2017 ,244
10075,2018 ,288
10075,2019 ,308
10075,2020 ,259
10075,2021 ,234
10075,2022 ,222
10075,2023 ,113
10103,2011 ,2
10103,2012 ,1
10103,2013 ,4
10103,2014 ,1
10103,2015 ,1
10103,2016 ,2
10103,2017 ,2
10103,2018 ,4
10103,2020 ,7
10103,2021 ,4
10103,2022 ,1
10103,2023 ,1
10105,2011 ,1
10105,2016 ,1
10105,2017 ,10
10105,2018 ,3
10105,2019 ,3
10105,2020 ,3
10105,2021 ,7
10105,2022 ,2
10105,2023 ,3
10106,2012 ,2
10106,2013 ,3
10106,2016 ,2
10106,2017 ,1
10106,2019 ,1
10106,2021 ,1
10106,2022 ,1
10106,2023 ,3
10107,2012 ,1
10107,2013 ,2
10107,2014 ,3
10107,2015 ,1
10107,2016 ,4
10107,2017 ,4
10107,2018 ,7
10107,2019 ,11
10107,2020 ,22
10107,2021 ,2
10107,2022 ,4
10107,2023 ,2
10110,2013 ,1
10110,2014 ,2
10110,2015 ,1
10110,2018 ,5
10110,2019 ,1
10110,2022 ,1
10111,2015 ,1
10111,2016 ,1
10112,2012 ,1
10112,2013 ,4
10112,2014 ,3
10112,2015 ,1
10112,2016 ,1
10112,2017 ,4
10112,2018 ,6
10112,2019 ,7
10112,2020 ,1
10112,2021 ,3
10112,2023 ,2
10115,2018 ,1
10115,2021 ,1
10115,2022 ,1
10118,2012 ,6
10118,2013 ,5
10118,2014 ,3
10118,2015 ,3
10118,2016 ,1
10118,2017 ,5
10118,2018 ,2
10118,2019 ,1
10118,2022 ,3
10118,2023 ,6
10119,2011 ,1
10119,2013 ,10
