zip_code,year,evictions,eviction_filings
10303,2017,0,89
10303,2018,0,63
10303,2019,0,83
10303,2020,0,13
10303,2021,0,2
10303,2022,0,25
10303,2023,0,35
10304,2017,0,134
10304,2018,0,156
10304,2019,0,132
10304,2020,0,18
10304,2021,0,11
10304,2022,0,40
10304,2023,0,50
10305,2017,0,60
10305,2018,0,42
10305,2019,0,42
10305,2020,0,9
10305,2021,0,1
10305,2022,0,16
10305,2023,0,23
10306,2017,0,60
10306,2018,0,70
10306,2019,0,46
10306,2020,0,9
10306,2021,0,1
10306,2022,0,39
10306,2023,0,40
10307,2017,0,9
10307,2018,0,18
10307,2019,0,14
10307,2020,0,3
10307,2022,0,6
10307,2023,0,3
10308,2017,0,19
10308,2018,0,15
10308,2019,0,12
10308,2020,0,3
10308,2022,0,7
10308,2023,0,5
10309,2017,0,23
10309,2018,0,34
10309,2019,0,21
10309,2020,0,4
10309,2021,0,1
10309,2022,0,10
10309,2023,0,13
10310,2017,0,64
10310,2018,0,43
10310,2019,0,51
10310,2020,0,6
10310,2021,0,3
10310,2022,0,33
10310,2023,0,13
10312,2017,0,31
10312,2018,0,17
10312,2019,0,34
10312,2020,0,6
10312,2021,0,4
10312,2022,0,16
10312,2023,0,17
10314,2017,0,74
10314,2018,0,63
10314,2019,0,52
10314,2020,0,8
10314,2021,0,4
10314,2022,0,30
10314,2023,0,24
10335,2019,0,1
10423,2019,0,1
10424,2018,0,1
10451,2017,0,278
10451,2018,0,322
10451,2019,1,266
10451,2020,0,63
10451,2021,0,1
10451,2022,0,45
10451,2023,0,55
10452,2017,0,445
10452,2018,0,386
10452,2019,0,369
10452,2020,0,65
10452,2021,0,5
10452,2022,0,78
10452,2023,0,91
10453,2017,0,600
10453,2018,0,510
10453,2019,0,476
10453,2020,0,89
10453,2021,0,1
10453,2022,0,68
10453,2023,0,131
10454,2017,0,151
10454,2018,1,160
10454,2019,0,117
10454,2020,0,20
10454,2022,0,31
10454,2023,0,63
10455,2017,0,236
10455,2018,0,207
10455,2019,0,185
10455,2020,0,35
10455,2022,0,31
10455,2023,0,48
10456,2017,0,552
10456,2018,0,572
10456,2019,1,539
10456,2020,0,88
10456,2021,0,1
10456,2022,0,63
10456,2023,1,88
10457,2017,0,538
10457,2018,1,463
10457,2019,0,387
10457,2020,0,78
10457,2021,0,2
10457,2022,0,63
10457,2023,0,103
10458,2017,1,684
10458,2018,0,574
10458,2019,0,472
10458,2020,0,75
10458,2021,0,3
10458,2022,0,108
10458,2023,0,162
10459,2017,0,346
10459,2018,0,335
10459,2019,0,330
10459,2020,0,57
10459,2022,0,28
10459,2023,0,59
10460,2017,4,477
10460,2018,0,460
10460,2019,0,375
10460,2020,0,45
10460,2021,0,1
