arrest_precinct,year,count
26,2016,2174
28,2016,4166
30,2016,3254
32,2016,5187
33,2016,3977
34,2016,4454
40,2016,10358
41,2016,6133
42,2016,5917
43,2016,6108
44,2016,8765
45,2016,2757
46,2016,5663
47,2016,5564
48,2016,5718
49,2016,3794
50,2016,2058
52,2016,6377
60,2016,4538
61,2016,2676
62,2016,2549
63,2016,2294
66,2016,2031
67,2016,5832
68,2016,2625
69,2016,2801
70,2016,3840
71,2016,4316
72,2016,3260
73,2016,7858
75,2016,10194
76,2016,2298
77,2016,4351
78,2016,2378
79,2016,4527
81,2016,3747
83,2016,3736
84,2016,4331
88,2016,2528
90,2016,3444
94,2016,1453
100,2016,2073
101,2016,2895
102,2016,4354
103,2016,6488
104,2016,2998
105,2016,3799
106,2016,3354
107,2016,2685
108,2016,2042
109,2016,4249
110,2016,4457
111,2016,1572
112,2016,1909
113,2016,6750
114,2016,5758
115,2016,5029
120,2016,4851
121,2016,3749
122,2016,2176
123,2016,1568
1,2017,3074
5,2017,5164
6,2017,3194
7,2017,2713
9,2017,2888
10,2017,2393
13,2017,3960
14,2017,9655
17,2017,1699
18,2017,4937
19,2017,2860
20,2017,1889
22,2017,200
23,2017,4216
24,2017,2185
25,2017,6464
26,2017,1971
28,2017,3226
30,2017,1997
32,2017,3859
33,2017,3497
34,2017,4126
40,2017,8357
41,2017,4924
42,2017,5327
43,2017,6005
44,2017,7371
45,2017,2542
46,2017,5432
47,2017,5570
48,2017,5009
49,2017,3757
50,2017,1627
52,2017,6898
60,2017,4133
61,2017,2635
62,2017,2394
63,2017,1996
66,2017,1568
67,2017,5074
68,2017,2898
69,2017,2851
70,2017,4045
71,2017,3799
72,2017,3748
73,2017,6204
75,2017,8144
76,2017,2404
77,2017,4310
78,2017,2212
79,2017,4120
81,2017,2948
83,2017,3492
84,2017,4304
88,2017,1858
90,2017,3271
94,2017,1676
100,2017,1856
101,2017,2720
102,2017,4228
103,2017,4942
104,2017,2993
105,2017,3899
106,2017,2910
107,2017,3142
108,2017,2191
109,2017,4062
110,2017,3721
111,2017,1402
112,2017,1537
113,2017,6071
114,2017,5264
115,2017,4839
120,2017,4742
121,2017,3038
122,2017,1996
123,2017,1602
1,2018,2792
