"","zip_code","nyc_flag","year","avg_zhvi","housing_units","agi","total_pop","avg_zhvi_pct","agi_pct","percentile_diff","inner_third_flag","gap_25_pct","bottom_income_quartile","gap_years","first_gap","gentrification_signal"
"5499","10579",0,"2020",414296.151875,4848,66120.2641509434,11559,0.279874706959001,0.0542531820001695,0.225621524958831,1,0,1,8,0,0
"5500","10579",0,"2021",461373.797066667,5080,NA,NA,0.308044859297342,NA,NA,1,NA,NA,NA,NA,NA
"5501","10580",0,"2011",1075399.05866667,5122,54516.1111111111,14342,0.980600958788896,0.0745045260545792,0.906096432734316,1,1,1,1,NA,NA
"5502","10580",0,"2012",1104671.24183333,5106,56832.0476190476,14428,0.985767893174655,0.0758257277462401,0.909942165428415,1,1,1,2,0,0
"5503","10580",0,"2013",1158669.29108333,5085,61317.546031746,14163,0.988382546698055,0.0868738782840553,0.901508668414,1,1,1,3,0,0
"5504","10580",0,"2014",1278804.40633333,5037,67552.5448916409,14136,0.9888439549846,0.0934468304880872,0.895397124496513,1,1,1,4,0,0
"5505","10580",0,"2015",1369141.37583333,5017,77136.0652173913,14095,0.990882519980477,0.105564146637647,0.88531837334283,1,1,1,5,0,0
"5506","10580",0,"2016",1368024.47708333,4898,79944.446875,14133,0.988603077415005,0.107614716561442,0.880988360853562,1,1,1,6,0,0
"5507","10580",0,"2017",1346305.58758333,4946,85132.9604863222,14246,0.987651616009929,0.105631235133436,0.882020380876493,1,1,1,7,0,0
"5508","10580",0,"2018",1388385.35208333,4988,97234.2702702703,13975,0.988081952576298,0.118957278438871,0.869124674137427,1,1,1,8,0,0
"5509","10580",0,"2019",1381134.91483333,4976,108814.765957447,13910,0.984708459156188,0.147155925603604,0.837552533552584,1,1,1,9,0,0
"5510","10580",0,"2020",1358376.3685,4961,90315.6834319527,13802,0.981773330215988,0.0984107714540614,0.883362558761927,1,1,1,10,0,0
"5511","10580",0,"2021",1511041.71183333,5150,NA,NA,0.985577075860441,NA,NA,1,NA,NA,NA,NA,NA
"5512","10583",0,"2011",873874.800241667,16963,48959.2062081588,44055,0.975090507158064,0.0625952695708953,0.912495237587169,1,1,1,1,NA,NA
"5513","10583",0,"2012",863296.068625,16757,52770.9423076923,44548,0.97883666402607,0.0661378007120438,0.912698863314026,1,1,1,2,0,0
"5514","10583",0,"2013",894100.800708333,16757,56123.431372549,44880,0.980891146454707,0.0685427687457422,0.912348377708965,1,1,1,3,0,0
"5515","10583",0,"2014",987744.043533333,16856,65765.5,45191,0.975507753699158,0.0912314784070209,0.884276275292137,1,1,1,4,0,0
"5516","10583",0,"2015",1067163.28783333,16910,67849.54,45653,0.973783203705812,0.0896130199869765,0.884170183718835,1,1,1,5,0,0
"5517","10583",0,"2016",1092846.64583333,16720,62499.82,45654,0.95573091949504,0.0716641907714113,0.884066728723629,1,1,1,6,0,0
"5518","10583",0,"2017",1103412.70883333,16895,66416.4509803922,46116,0.954708271082785,0.0703463067762276,0.884361964306558,1,1,1,7,0,0
"5519","10583",0,"2018",1097112.32408333,16989,76473.8333333333,45631,0.940646238802213,0.0859216415682105,0.854724597234003,1,1,1,8,0,0
"5520","10583",0,"2019",1049321.54283333,16989,76576.75,45808,0.914198219562269,0.0819126537250151,0.832285565837254,1,1,1,9,0,0
"5521","10583",0,"2020",1016411.643,16731,90015.4255319149,45649,0.885249535718859,0.0980015018914225,0.787248033827437,1,1,1,10,0,0
"5522","10583",0,"2021",1119682.4055,17132,NA,NA,0.916604979310881,NA,NA,1,NA,NA,NA,NA,NA
