zip_code,avg_zhvi_2011,avg_zhvi_2012,avg_zhvi_2013,avg_zhvi_2014,avg_zhvi_2015,avg_zhvi_2016,avg_zhvi_2017,avg_zhvi_2018,avg_zhvi_2019,avg_zhvi_2020,avg_zhvi_2021,agi11,agi12,agi13,agi14,agi15,agi16,agi17,agi18,agi19,agi20,avg_zhvi_2011_pct,avg_zhvi_2012_pct,avg_zhvi_2013_pct,avg_zhvi_2014_pct,avg_zhvi_2015_pct,avg_zhvi_2016_pct,avg_zhvi_2017_pct,avg_zhvi_2018_pct,avg_zhvi_2019_pct,avg_zhvi_2020_pct,avg_zhvi_2021_pct,agi11_pct,agi12_pct,agi13_pct,agi14_pct,agi15_pct,agi16_pct,agi17_pct,agi18_pct,agi19_pct,agi20_pct
07843,205678.2632,188675.51330833332,178537.458575,184564.71485833335,198989.46395,203760.03976666665,205562.17776666663,217645.72110833332,239145.49980833332,261602.72895,306626.43695,9639.570214959416,8321.285714285714,10356.41111111111,8795.566666666668,9640.351648351649,9465.108695652174,9813.423913043478,10227.934065934063,10642.967741935485,10927.701030927836,0.12092574622912586,0.10546197953434651,0.07949181367371433,0.07250712520850763,0.08627570227405866,0.07109000126890845,0.058185245799326615,0.034549507844162,0.03213787126885361,0.024077431042595996,0.02992425255101912,0.002990493898988252,0.0026326905766454545,0.0027956464212867513,0.002522319600681449,0.0028241943905057344,0.004042785342661076,0.0026382782045602086,0.002587037189345127,0.0022131359691499124,0.002023003963370704
07847,246715.33321666665,236511.83780833337,239665.98541666663,248457.16208333333,262694.399325,277313.37615,278948.35253333335,292396.70317500003,308707.38529166667,333390.70830833336,373319.8046833333,24440.383272058825,25742.050458715596,23897.586046511628,24989.424657534248,26049.843049327355,26385.81614349776,28174.65158371041,30055.046296296296,29128.162037037036,29235.054054054053,0.2266912891748722,0.22044806118933832,0.20233058618155503,0.19271443603752547,0.20758636852038692,0.1944876328973578,0.1459049812368394,0.12693613278377183,0.12565033652002203,0.1285382052988596,0.12447583612744477,0.021357164978462188,0.021042870010603818,0.01802043593434853,0.018322592125064825,0.017791488962284604,0.020077047792629605,0.017858046776097588,0.018012465319522657,0.015577374160233753,0.015378150135814431
07848,265359.645725,243676.9414,242888.01596666663,254934.4506,272381.452575,278933.3259333333,283359.4948666667,295530.5964916667,306986.05078333337,324470.5247333333,381719.73281666666,53029.914100486225,52874.98387096774,54378.672018348625,56568.89908256881,59029.07744874715,59563.52402745996,62879.01609195402,65607.8129330254,69231.50691244239,68091.55402298851,0.27806377448643793,0.2385665479274368,0.22015999575168796,0.21438728433057383,0.235169140525133,0.19475018104975875,0.1590440001810208,0.13530763092836806,0.12178027920600855,0.10906760637522066,0.1463055306003754,0.07284169367831986,0.06644285129621091,0.06657430750987398,0.06495663987913398,0.06251576606965852,0.06365820765860537,0.06022853874153538,0.05888315927635819,0.06500210867207255,0.06029454439704551
07849,263766.69635833334,260113.86591666663,265824.3627333333,279096.387875,278388.5533166667,287120.69461666665,295979.61974166665,306142.047025,320090.439875,334966.649575,375467.993575,33302.73339598998,33321.57716049383,34089.56923076923,34119.37151702787,35915.71686746988,35921.523952095806,38386.313609467456,40520.282282282285,41574.701807228914,41017.06006006006,0.2773933817916914,0.2737463311200493,0.27532324749252834,0.26568109557164205,0.24888759801026572,0.21573375150850035,0.18878864550005073,0.1486460813972374,0.14606640804636084,0.1299591293321354,0.13108422285029128,0.033445961165652335,0.03284650998992832,0.03141907084849883,0.029929421659741422,0.0285898533975513,0.031999500236860816,0.02789794094891517,0.02761749241801757,0.026432333724037128,0.023966897175944014
07850,269599.2153,252727.97975833333,250708.86358333332,259223.47418333337,264411.09356666665,283566.619675,286819.861575,300407.0770333333,309044.49450000003,327325.3751416667,370091.97505833337,24659.42737896494,25560.707446808512,23970.826530612245,26036.747368421053,26439.53968253968,26024.91959798995,26837.845,28173.4900990099,30744.430622009568,32357.355855855854,0.28622068360011654,0.25635054068139423,0.24346585756723832,0.2261291889484197,0.2123944361575268,0.206051415456969,0.16912274718582168,0.14434684746426185,0.125914837896031,0.11982244800766939,0.11808838892215312,0.021664487630075346,0.020738477120757777,0.01832011487227083,0.019088742463277544,0.01836510990783813,0.019573422315360467,0.016220141483716786,0.01623117322469453,0.017862797382707664,0.01781345836230129
07852,318347.0408833333,307598.6357583333,308632.0461916667,317646.3611583333,320402.96570833336,329674.06885,332601.12470833334,342187.00584166666,352846.409725,361965.9291833333,401205.3356,143638.35363621236,158197.6455284553,163636.7142857143,176461.914893617,183944.05863192183,184634.0049586777,195375.8790849673,216808.28032786885,211609.85967741936,242673.6875,0.44391803803176866,0.4250840141020801,0.3939269839369702,0.34558422230142855,0.3132650789952164,0.2928818248032672,0.2608684946020604,0.22240829317885244,0.18764016774847533,0.1697258519966765,0.17168885814119245,0.3500689799360032,0.3886886143247633,0.39926603769649754,0.417702350180617,0.41690421856025545,0.4123207121683246,0.4125349692242969,0.4450454860264952,0.4168198803816393,0.4933740557283058
07853,402899.2299,397743.8933666667,411938.2169,439380.997125,452104.803025,459240.5797666667,464513.92124166666,471897.50025,473470.2334833333,483203.50814166665,536069.713525,25024.890632003586,26310.605263157893,27398.704845814977,27993.845814977973,29495.47161572053,33813.37984496124,37756.22388059701,40076.97802197802,38972.03717472119,39084.75182481752,0.6603991944738604,0.6642440578679851,0.6572975785071413,0.6578669514112071,0.6341501823883366,0.6043209155635039,0.5452558649111593,0.49591218688863714,0.43283822746501854,0.41266756000191374,0.44081305238032065,0.021983117974907613,0.021875391440227987,0.02318341224631063,0.022457538421383313,0.022574665172678903,0.029710860104651814,0.026740717366005334,0.026619741229991174,0.025102365803121952,0.022524273194423274
07856,278332.70793333335,271669.652025,282332.1773,297591.78075833333,303651.9001166667,310278.1781083333,319254.6450166667,333561.0515333333,340239.07545,349290.5465666667,378049.3803416667,14451.187969044997,14535.06432748538,13687.523255813954,13926.630057803468,14061.765714285715,14287.936416184972,14812.548571428571,15709.06779661017,16720.972222222223,17517.762162162162,0.30233859073313396,0.29526031113574264,0.2995034485282944,0.2914698931476302,0.2869702141759331,0.26102011323893487,0.24256387564344464,0.21130217834926984,0.16722534387013657,0.15868710926523455,0.13369344036625516,0.009101309653419801,0.008695944626921252,0.006536952983420449,0.0071901374397952975,0.00658499598148558,0.00891290105772416,0.005632227785718698,0.005835272264405776,0.006226283316195972,0.006093471057205295
07857,252029.92270833332,242209.00053333337,241106.45915833337,245798.8576,241905.91886666667,255165.80944166667,270015.904225,274838.82221666665,280612.813675,297701.51195,331667.36788333335,122057.91843971632,125034.64467005077,127254.98811544992,131035.343697479,136265.9443059019,138482.64642262895,147902.42727272728,153833.90205761316,154541.2657916325,156814.8488,0.23528319626840605,0.23478916212449427,0.2064084857032749,0.19143207022490827,0.1461848775903405,0.13291882819425413,0.12749365761690853,0.09930139014532842,0.07679390865954314,0.06002699607361492,0.053995436438777814,0.2735373694299766,0.27409981826709695,0.26855089885555017,0.26556914716245905,0.26262705252227775,0.26421043422335283,0.26912553603223405,0.2632414101471916,0.25246314407943277,0.25899415189874203
07860,223420.14311666667,203521.916525,202449.08183333333,221250.88698333333,231476.70800833337,237749.34380833333,237304.54275833332,244556.22018333332,257582.278825,274250.1129666667,323606.1800583333,13865.180327868851,14498.106870229009,15093.396825396823,15543.34126984127,15829.59349593496,16191.256,17421.5,19133.507692307692,20454.272058823528,22037.907142857144,0.16908491284141464,0.14099781516011167,0.11768694410604459,0.12164967372689581,0.12187413029577245,0.1056335820334451,0.08399305850314139,0.06201107553287037,0.045107612575646,0.04141358116315241,0.05085171427375213,0.007978239186461948,0.008419563536111521,0.008704269098076674,0.00883114225900246,0.008421633100826406,0.010474660867697657,0.008190513309203175,0.008288263036498038,0.008462075168400031,0.009236279496640212
