zip_code,avg_zhvi_2011,avg_zhvi_2012,avg_zhvi_2013,avg_zhvi_2014,avg_zhvi_2015,avg_zhvi_2016,avg_zhvi_2017,avg_zhvi_2018,avg_zhvi_2019,avg_zhvi_2020,avg_zhvi_2021,agi11,agi12,agi13,agi14,agi15,agi16,agi17,agi18,agi19,agi20,avg_zhvi_2011_pct,avg_zhvi_2012_pct,avg_zhvi_2013_pct,avg_zhvi_2014_pct,avg_zhvi_2015_pct,avg_zhvi_2016_pct,avg_zhvi_2017_pct,avg_zhvi_2018_pct,avg_zhvi_2019_pct,avg_zhvi_2020_pct,avg_zhvi_2021_pct,agi11_pct,agi12_pct,agi13_pct,agi14_pct,agi15_pct,agi16_pct,agi17_pct,agi18_pct,agi19_pct,agi20_pct,diff_2011,diff_2012,diff_2013,diff_2014,diff_2015,diff_2016,diff_2017,diff_2018,diff_2019,diff_2020
07001,245800.50409166663,228271.41545833333,230933.60649166667,245036.75901666668,254105.76513333333,265228.31275,273506.7843666667,288246.99289166665,303702.45924166666,323922.49761666666,352374.6181833333,57391.21084891205,57927.16692667707,59602.696374622356,62344.68796433878,65916.06695778748,66174.93613933236,71183.43864598025,75819.66390041493,77398.47162162162,78609.95394736843,0.2240881581840428,0.19384140463135577,0.19368102587135025,0.1909254998919665,0.17578908804639773,0.1537928178593366,0.13233411529190936,0.11990943023820325,0.11412471107774916,0.10723962632605928,0.08187259356258919,0.08278813310526281,0.08078384607082924,0.08138753992920747,0.0789130423495998,0.08131789676230822,0.08223810202365973,0.08436119284528779,0.08475564306084825,0.08340053697087496,0.0796910789039762,0.14130002507877998,0.11305755856052653,0.11229348594214278,0.1120124575423667,0.09447119128408951,0.07155471583567687,0.047972922446621574,0.035153787177355,0.030724174106874197,0.027548547422083083
07002,238739.2411,234043.85129166668,239827.05923333333,249911.399975,253543.3991,268751.02739166666,290030.62980833335,322873.63615,353542.10455,388223.737625,433958.8000916667,242076.90841672337,242984.2694552529,245214.15635074145,252220.4936061381,261097.98405253285,263701.27784770296,271568.345274861,282754.1147741148,296444.7404648391,311271.1312087281,0.20885064536882,0.2091784758642271,0.2041619206930749,0.19868158818049345,0.17370097847871263,0.1694817415367224,0.17639729864911752,0.1789612774917075,0.19141459651283851,0.2085323531835417,0.2314950543344752,0.6842163669356082,0.6675587193974077,0.6583261922482173,0.6431964245216261,0.6470790386070708,0.6485657119766702,0.6370668785253668,0.6287232199016659,0.6340493650240653,0.6445506428221865,-0.47536572156678814,-0.45838024353318063,-0.4541642715551424,-0.44451483634113265,-0.4733780601283582,-0.4790839704399478,-0.4606695798762493,-0.44976194240995837,-0.44263476851122674,-0.43601828963864486
07003,258172.10098333337,245874.15005,253313.94629166665,274003.32221666665,283074.31711666664,295234.41201666667,310417.453825,326648.96585833334,348954.4725833333,386834.93725,443460.6934333333,211063.88081431217,212862.95428571428,218167.31988705124,225584.5881647341,239212.21786833857,249910.82323619633,262403.45642374153,279919.7483246463,284181.30637346255,289120.0846097739,0.26043931103794754,0.24212940087192283,0.24995698434049984,0.25957216346371365,0.25962187122507396,0.2391079662785352,0.22703446523587276,0.1979157547347505,0.18405971155258932,0.20411038239795132,0.2470445556316121,0.5694653548218811,0.5653469232910218,0.5691477428158624,0.5595283945250933,0.5715865212570611,0.5991941758283033,0.6015504183768089,0.6079682587470148,0.6045942780936369,0.6019634978964006,-0.30902604378393356,-0.32321752241909896,-0.3191907584753626,-0.29995623106137964,-0.31196465003198715,-0.36008620954976805,-0.3745159531409361,-0.41005250401226423,-0.42053456654104754,-0.39785311549844926
07004,443124.8187333333,408125.638325,401600.1388166667,433854.67051666667,448643.5725416667,463102.8610833333,484385.629325,505085.50916666666,510416.8936,535073.556375,604349.4061,51689.16154044973,55820.51295336788,58984.61675126904,68363.40506329114,64818.54683544304,69070.59600997507,74666.96287128713,82040.58048780488,87590.30071599045,87343.83135391925,0.7443449885866718,0.6880133370931669,0.6323303446638155,0.6394062891173462,0.6230911202714162,0.6131802441356073,0.6024937833257957,0.5592263486496628,0.4998593827312893,0.5190152481262076,0.6008697980219355,0.06980681106871599,0.07478537491117326,0.07845389559144211,0.09626024709852872,0.0780196349898218,0.09040510367012762,0.0880077967902619,0.09449383662199697,0.09659425364527574,0.09437493107079904,0.6745381775179558,0.6132279621819936,0.5538764490723734,0.5431460420188174,0.5450714852815944,0.5227751404654797,0.5144859865355338,0.46473251202766586,0.4032651290860136,0.42464031705540856
07005,397273.3179416667,384993.97795,391655.0475666667,411251.781,419824.6746083333,429576.16281666665,433444.12945,446877.3577,456961.925825,472261.04420833336,517030.63435,110867.81888445187,126771.86206896552,119216.69152970923,131897.89144316732,130901.26908635796,138119.97348484848,146839.34760705288,154269.2155172414,166882.10565110564,171717.19047619047,0.6524365387452618,0.6305434697204447,0.6100129804534143,0.594801222099995,0.580281782679872,0.5353767662566636,0.4707472461619598,0.4284101390027422,0.39594461558423905,0.38488522928930846,0.4002845857358824,0.23808095454253064,0.2763650968798656,0.2391791834005987,0.2680672480111145,0.2480690304527044,0.26189054426488323,0.2632113601681454,0.26532569994228733,0.292517775611902,0.30696073139082847,0.4143555842027311,0.3541783728405791,0.3708337970528156,0.3267339740888805,0.33221275222716756,0.2734862219917804,0.2075358859938144,0.1630844390604549,0.10342683997233704,0.07792449789848
07006,450700.03415,439467.32185833337,456950.16031666665,495682.73445833335,510786.9611,518380.0523,526189.77865,536891.0158416666,536801.410225,554603.4568416667,617147.7295666666,248685.39777990736,279444.7521773555,298942.3536392405,315176.7047619048,324256.52578125,334324.70955011836,362877.34528448945,402276.31860465114,416253.00472069235,415617.01402961806,0.7526042235719325,0.735787385918622,0.7326123353760333,0.7212198990084661,0.705182185716082,0.6780125506040391,0.6606737789304215,0.6046949423776935,0.5718600479478465,0.5751353962577154,0.6185389062888568,0.7066452967304145,0.7675152218866305,0.7956542066988901,0.798069856910539,0.7919455476619285,0.803423553064283,0.8114617205415667,0.8385954422810209,0.8415997921418235,0.8479716995764806,0.04595892684151792,-0.03172783596800843,-0.06304187132285677,-0.07684995790207294,-0.08676336194584644,-0.12541100246024395,-0.15078794161114528,-0.2339004999033274,-0.26973974419397695,-0.2728363033187652
07008,211226.48411666663,202885.84326666663,215742.41408333337,228610.73000833337,236386.83661666667,249639.124975,262844.35540833336,280945.3971083333,305580.083825,344779.5608833333,386918.311625,84966.19973130318,86249.03989361702,86668.04024496938,89207.97471665214,92398.68474576272,93850.3075,96484.27495908349,99704.39445802772,101286.51096669376,106800.8068803753,0.12859559022210745,0.13993566718442,0.14886635923408575,0.1519254824214495,0.13692966025888953,0.12596204507626377,0.12227947481488996,0.10960699455832724,0.1176067498637495,0.14736401408170086,0.15442619283379144,0.1495624975302012,0.14257174622924423,0.1400956690465265,0.13674585874089867,0.13631792609453208,0.14228590138339,0.13020114966549348,0.1283341039780167,0.12069006352345092,0.13471382982001642,-0.020966907308093752,-0.002636079044824241,0.008770690187559244,0.015179623680550813,6.11734164357447e-4,-0.01632385630712624,-0.007921674850603522,-0.018727109419689456,-0.0030833136597014227,0.012650184261684433
07009,420502.9887,404983.9750833333,409454.6120833333,441979.47254166665,456657.5675416667,458469.07468333334,470839.2676083333,489689.525625,498702.879875,512101.7466166666,569529.0728083333,94677.78962017028,100303.2361563518,103735.91843393148,112377.44006568144,117137.86928104576,119971.48613376835,134727.09430894308,144023.39268680447,157412.22291021672,170928.63622754492,0.7008140708773185,0.6757362886386373,0.6493760216687916,0.6591729098878198,0.6386944707818116,0.603499245341219,0.5633194185919599,0.5231243089582591,0.4829057545782443,0.4727483315732712,0.5091766194538758,0.1768297967821069,0.19349776488564008,0.19917113887089893,0.209274206775399,0.20879585359700997,0.21122927979976755,0.23125823146747224,0.2343629427887552,0.2607328646298311,0.30397173298383634,0.5239842740952116,0.48223852375299725,0.45020488279789267,0.44989870311242086,0.42989861718480166,0.39226996554145144,0.3320611871244876,0.28876136616950393,0.22217288994841322,0.16877659858943483
07010,333421.12045833335,349483.0931416667,363121.3279833333,376928.01056666666,381571.5651416667,393069.3675333333,409553.251025,432716.6803333333,447502.66170833335,466683.286275,505796.182175,98781.4022787029,100466.49651567944,101676.8632034632,105287.4948630137,112489.20677966102,111967.26919831223,119067.84647302904,128004.0211210398,132079.22719869707,129538.06542056074,0.4880054185994678,0.5499134432028013,0.5478757914768839,0.5371647919209162,0.4785016564234008,0.4421807157416265,0.4238513239512108,0.3982303141349373,0.3716723576540049,0.38147635277293934,0.37230433611458186,0.19678995039591665,0.1968759220799645,0.1929716627043281,0.19220326099448712,0.19639122731885908,0.196713033255024,0.1961196757846714,0.19912900333878225,0.19844514232008584,0.191657183011528,0.29121546820355115,0.3530375211228368,0.35490412877255584,0.344961530926429,0.28211042910454176,0.24546768248660247,0.22773164816653937,0.19910131079615506,0.17322721533391908,0.18981916976141133
07011,251083.11744166663,235489.83506666668,242850.87575833336,256612.53835,269192.58335833333,285449.68564166664,299766.7314583333,325315.55155,347837.3164083333,373674.346025,421358.79494166665,144154.12954592152,142802.00516795865,144367.0081466395,147351.4705,150491.16124260356,150981.3016983017,156023.2918918919,160212.72368421053,162903.98601061263,170928.25888324872,0.2342515736558653,0.21380633121319384,0.21907594112787585,0.2194153588541252,0.22415425267861452,0.2111807623970423,0.19996179928757077,0.18713218746048296,0.18162555030450683,0.1802248409012567,0.20387767769363355,0.3525101485042928,0.3408393793876769,0.3327806384049853,0.3221212016088095,0.3109860613278092,0.31124159831742393,0.2991925673447813,0.28579417721135514,0.27769915314599997,0.30273209674561874,-0.1182585748484275,-0.12703304817448305,-0.11370469727710944,-0.10270584275468433,-0.08683180864919468,-0.10006083592038162,-0.09923076805721051,-0.09866198975087218,-0.09607360284149313,-0.12250725584436203
