geoid,zip_code
34035050801,08807
34035052400,07920
34035053501,08873
34023003001,07095
34023003002,07095
34023003101,08840
34035053905,08502
34035050704,08807
34023003300,07095
34023003203,08863
34023007908,08879
34023007909,08857
34023007910,07747
34027041200,07046
34027041500,07834
34027041602,07834
34023006606,08816
34023004300,08861
34023001001,07080
34023007702,08857
34023002302,07067
34023003401,07077
34023003500,07008
34023003700,07008
34023004000,08861
34027041901,07936
34027045402,07850
34027042100,07981
34027040702,07405
34027044404,07866
34027044401,07435
34027044403,07885
34027044601,07438
34027041803,07054
34027040701,07405
34027045300,07885
34027041300,07046
34023008103,08828
34023008001,08879
34023008204,08831
34027045701,07869
34027041702,07034
34027040803,07058
34027044701,07849
34027046104,07836
34027041400,07834
34027041604,07950
34027045501,07876
34027044101,07946
34027046201,07853
34027041704,07034
34027041902,07936
34027046297,07853
34027044000,07928
34027046298,07853
34027044200,07960
34027044102,07933
34027040200,07444
34027044602,07438
34027043401,07869
34027044504,07866
34027040805,07045
34027043100,07940
34027043200,07940
34027043301,07960
34027043302,07960
34023004700,08861
34023004200,08861
34023004800,08861
34027043000,07940
34027043303,07960
34023005000,08861
34023005100,08901
34023005200,08901
34023005300,08901
34023004400,08861
34023008205,08831
34023008206,08831
34023008207,08831
34003005000,07072
34003007001,07624
34003007002,07624
34003010100,07628
34027040801,07082
34027040900,07005
34027041000,07005
34027041100,07005
34003017400,07410
34003018200,07022
34003019102,07024
34023005500,08901
34023005700,08901
34023006101,08902
34023006103,08902
34003011100,07407
34003011200,07407
34003011300,07407
34003011400,07407
34003014000,07630
34003015200,07631
34003015300,07631
34023008209,08831
34023008300,08831
34003015500,07631
34003016000,07632
34027043402,07960
34027043500,07960
34027043900,07928
34027044300,07866
34003010300,07649
34003017200,07410
34023002000,08840
34023004100,08861
34023006800,08882
34023006900,08882
34023007000,08882
34023007101,08872
34003056100,07463
34017002800,07306
34027041603,07005
34027041701,07034
34027041801,07054
34027041802,07054
34003061300,07481
34023000608,08854
34023000701,08854
34023000702,08854
34023000801,07080
34023001410,08820
34023001411,08820
34023001412,08820
34023001413,08820
34023001414,08820
34023001415,08820
34023007102,08872
34023007103,08872
34025812502,08535
34025806202,07764
34025803201,07733
34025809301,08736
34025809302,08736
34025810101,07726
34025812100,07760
34003002200,07647
34003002300,07648
34003003100,07621
34003003200,07621
34023000901,07080
34023001417,08820
34023001502,08817
34023001504,08817
34023001600,08817
34023001701,08817
34023001803,08817
34023001805,08837
34023006104,08902
34025812400,07723
34025990000,07760
34023007202,08872
34023007301,08859
34025803202,07733
34025808701,07719
34023008404,08852
34027042301,07950
34031175704,07055
34031182302,07501
34031223802,07512
34031182301,07501
34031133701,07508
34031133702,07508
34035050701,08807
34035050703,08807
34035054100,07920
34035052904,07921
34035053603,08876
34035054202,08558
34035054201,08502
34035053707,08844
34035052204,07059
34035053904,08502
34035053604,08876
34023009000,07001
34023005601,08901
34023001901,08837
34023001902,08837
34023001903,08837
34023002101,08840
34023006002,08901
34023007911,07747
34023008605,08536
34023008606,08536
34023002102,08840
34023002301,07067
34003032104,07430
34003041302,07650
34003006202,07010
34031223801,07512
34023007402,08879
34023007600,08879
34023008405,08824
34023008501,08852
34023008504,08852
34023008602,08536
34023004900,08861
34027044502,07801
34027044702,07885
34027044800,07801
34023000902,07080
34027045703,07869
34027045704,07869
34027045804,07945
34027046400,07945
34027040101,07035
34023002401,07067
34023002402,07067
34023002500,08830
34023002603,08830
34023002604,08830
34023002605,07067
34023006204,08902
34023002805,07095
34027041706,07005
34013021701,07006
34013021702,07006
34023007703,08857
34023007704,08857
34013022900,07102
34013023100,07103
34013023200,07108
34013980100,07114
34023007801,08857
34023009200,08872
34023009400,08816
34023006001,08901
34023001505,08817
34023001506,08817
34027042200,07927
34013980200,07105
34031175801,07055
34031264200,07522
34027042302,07950
34027042500,07932
34027042700,07928
34027042800,07928
34027042900,07932
34035052203,07059
34023007500,08879
34023007906,08857
34023008502,08512
34023008700,08512
34023000200,08846
34023000300,08812
34023001100,08904
34023001200,08904
34023001300,08904
34023001409,08820
34023006206,08901
34023006207,08902
34023006300,08850
34023006205,08902
34013023000,07103
34029731002,08752
34029731101,08721
34027040400,07457
34027040500,07405
34027040600,07405
34029715902,08701
34029720205,08759
34023000401,08854
34023000403,08854
34023000404,08854
34023000501,08854
34023000603,08854
34003019104,07024
34003019203,07024
34003019303,07024
34003019304,07024
34003040001,07628
34003023301,07601
34003032103,07430
34003032201,07430
34023008102,08884
34023008604,08536
34023002200,08840
34035053706,08844
34035053403,08823
34029736101,08087
34029714000,08723
34029713401,08724
34029717101,08527
34029715401,08701
34029717502,08527
34029731204,08757
34029723000,08755
34029717200,08527
34029711100,08742
34029713201,08724
34029737000,08087
34029720203,08757
34017013500,07029
34017013600,07029
34017013700,07029
34017013900,07029
34017014200,07047
34017014300,07047
34017014600,07047
34017014900,07047
34017015100,07093
34017015500,07093
34017015600,07093
34017015700,07093
34003054500,07666
34003010200,07628
34003047500,07450
34013015200,07003
34003002100,07620
34003009100,07627
34003009200,07641
34013021300,07009
34029711300,08742
34029711400,08742
34029713100,08724
34029713203,08724
34013015400,07003
34013015500,07003
34013015700,07003
34013015800,07003
34013016300,07043
34013016700,07042
34013016800,07042
34013021400,07009
34013021802,07006
34013021803,07006
34013010400,07017
34013016900,07042
34013017301,07052
34013017302,07052
34013017500,07052
34013017600,07052
34013017800,07052
34013017900,07052
34013018200,07050
34017016000,07093
34017016300,07087
34017016400,07087
34017016500,07087
34017016700,07087
34017016900,07087
34017017300,07087
34017017400,07087
34017017600,07087
34017017700,07087
34035053000,08880
34017017800,07087
34017017900,07086
34017018100,07086
34017018200,07086
34013018300,07050
34013018400,07050
34013018600,07050
34013018700,07050
34013019200,07079
34013019300,07079
34013019400,07040
34013019500,07040
34013019700,07040
34013019800,07040
34013019900,07040
34013020200,07041
34013020400,07039
34013020901,07021
34013003700,07103
34013004300,07112
34013007600,07105
34013010800,07017
34013013200,07111
34013015900,07017
34013020000,07078
34013000100,07104
34013000200,07107
34013000400,07107
34013000600,07107
34013001000,07103
34013001100,07102
34013001300,07103
34029731202,08757
34029715301,08701
34029717002,08527
34029723500,08753
34029723600,08753
34029724000,08757
34029725001,08722
34029725002,08722
34029727001,08735
34037371802,07461
34037371801,07461
34029727002,08751
34029729000,08740
34029730000,08741
34029731001,08721
34029731102,08721
34029731206,08757
34029736002,08092
34029738001,08092
34029738002,08008
34019010300,08827
34029713402,08724
34025800602,07758
34025800701,07758
34025800800,07748
34025801200,07748
34025800702,07748
34025802000,07735
34025802300,07730
34025801700,07734
34025802500,07735
34025802600,07721
34003043001,07656
34003043002,07656
34025802700,07747
34025802400,07730
34025803500,07701
34025803900,07760
34025802800,07747
34025803100,07747
34025803400,07701
34025810503,07728
34025810700,07728
34025810900,07728
34025804100,07750
34003038100,07031
34003038300,07031
34025804200,07739
34025811000,07728
34025811401,07731
34025811402,07731
34025811600,07727
34025812000,08501
34025805500,07740
34025805400,07740
34025808402,07719
34025808001,07753
34025809704,07746
34025810401,07728
34025805600,07740
34025805700,07740
34025805800,07740
34025805900,07740
34025806000,07740
34025806100,07740
34003044100,07446
34029739000,08008
34029731203,08757
34029734002,08005
34029732101,08721
34025806400,07755
34025806502,07712
34003006302,07010
34003013004,07020
34003037203,07646
34003006101,07010
34003018101,07022
34003054601,07666
34003030201,07644
34003037204,07646
34003021102,07026
34003021101,07026
34003042102,07652
34003006102,07010
34003017502,07410
34003023201,07601
34003017101,07410
34003008002,07626
34003017501,07410
34003045101,07657
34003015401,07631
34003023202,07601
34003054102,07666
34003054602,07666
34003017301,07410
34003008001,07626
